year,dep,arr,dep_dem,arr_dem,eff_aar,adr,cap_aar,cap,caputil,eff_dep,eff_arr,saer
2000,172170,158570,215157,175647,339821,368792,339821,708613,46.67,91.93,94.31,93.00
2001,147010,133806,176997,144244,320077,336135,320077,656212,42.79,93.41,95.48,94.34
2002,142779,129089,169072,138061,317088,343905,317088,660993,41.13,94.81,95.87,95.29
2003,140023,126800,168626,138507,303844,337738,303844,641582,41.59,94.26,94.73,94.47
2004,161351,160474,203993,179710,302256,337324,302256,639580,50.32,93.22,94.93,94.02
2005,176738,176139,249869,209219,322701,321895,322836,644731,54.73,91.55,93.92,92.63
2006,191852,191288,326131,237164,335796,331485,337419,668904,57.28,91.98,94.20,92.92
2007,222946,222505,407468,332520,365119,343131,370455,713586,62.42,90.42,91.82,91.05
2008,221203,221458,352677,325057,365838,359354,372714,732068,60.47,89.35,92.10,90.67
2009,209595,209710,312026,288945,373893,350917,380245,731162,57.35,89.91,92.47,91.14
2010,200902,200595,277480,253438,349015,333458,351570,685028,58.61,92.05,92.89,92.45
2011,205231,204685,266431,263065,375289,339264,379989,719253,56.99,91.84,92.76,92.30
2012,202430,202162,254435,233863,409216,333894,412665,746559,54.19,93.28,94.91,94.06
2013,203798,203443,264611,252442,410030,327404,416274,743678,54.76,93.27,94.07,93.66
2014,213113,212793,269706,259825,416622,326557,422429,748986,56.86,93.58,93.62,93.60
2015,220122,220306,285469,275114,409928,323723,417113,740836,59.45,93.68,93.92,93.80
2016,225989,226432,296871,271421,421207,348720,426426,775146,58.37,93.35,94.09,93.71
2017,223126,223879,317699,299227,412406,332844,418746,751590,59.47,92.18,93.47,92.81
2018,227425,227342,312875,270243,430599,327024,436230,763254,59.58,92.29,94.00,93.08
